sl_no,nbfc_name,regional_office,accepts_deposits,classification,cin,layer
6344,Ranjana Commotrade (P) Ltd (Name as per MCA - Pushpa India Commotrade Private Limited),Kolkata,No,ICC,U51109WB1994PTC063753,Base
6345,Ranjit Distributors Pvt Ltd,Kolkata,No,ICC,U65920WB2000PTC091562,Base
6346,Ranjit Securities Ltd.,Bhopal,No,ICC,L67120MP1994PLC008680,Base
6347,Ranjitgarh Finance Company Private Limited,New Delhi,No,ICC,U65921DL1996PTC210291,Base
6348,Rankini Traders (P) Ltd,Kolkata,No,ICC,U74140WB1995PTC070461,Base
6349,Ranks Fiscals (P) Ltd.,Kolkata,No,ICC,U65921WB1995PTC067607,Base
6350,Ranni General Finance & Hire Purchase Ltd.,Thiruvananthapuram,No,ICC,U65921KL1995PLC009820,Base
6351,Rapid Credits & Holdings Pvt. Ltd.,New Delhi,No,ICC,U74899DL1993PTC054539,Base
6352,Rapid Investments Limited,Mumbai,No,ICC,L65990MH1978PLC020387,Base
6353,Rapid Portfolio Pvt. Ltd.,New Delhi,No,ICC,U74899DL1995PTC072376,Base
6354,Rar Fincare Limited,Chennai,No,ICC,U65993TN2019PLC130390,Base
6355,Rare Shares & Stocks Private Limited,Mumbai,No,Type-I,U67120MH1997PTC111868,Base
6356,RAS Credit Services Private Limited,New Delhi,No,ICC,U65990DL2018PTC335236,Base
6357,Rasalika Trading & Investment Company Pvt.Ltd.,New Delhi,No,ICC,U74899DL1987PTC028059,Base
6358,Rasaraj Sales Ltd,Kolkata,No,ICC,U51109WB1995PLC068752,Base
6359,Rashi Fincorp Limited (Formerly Jbf Finance Ltd.),Mumbai,No,ICC,U65920MH1993PLC075442,Base
6360,Rashi Holdings (P) Ltd,Kolkata,No,ICC,U26106WB1992PTC056714,Base
6361,Rashmi Commercial Co Ltd,Kolkata,No,ICC,U01409WB1982PLC034876,Base
6362,Rashmi Properties & Investments Ltd,Kolkata,No,ICC,U70109WB1973PLC029066,Base
6363,Rashmi Viniyog & Builders (P) Ltd,Kolkata,No,ICC,U70109WB1993PTC058562,Base
6364,Rashraj Card Board Box Pvt.Ltd,Kolkata,No,ICC,U51109WB1994PTC065271,Base
6365,Rashraj Plastics (P) Ltd,Kolkata,No,ICC,U51494WB1994PTC064276,Base
6366,Rasili Barter (P) Ltd (Name as per MCA - Sunidhi Fincon Private Limited),Kolkata,No,ICC,U51109WB1995PTC068496,Base
6367,Ratan Shree Finvest (P) Ltd,Kolkata,No,ICC,U67120WB1991PTC051955,Base
6368,Rathi Financial Services Ltd,Mumbai,No,ICC,U65944MH1992PLC069168,Base
6369,Rathi Fincap Private Limited (Formerly: Rathi Finlease Ltd.),Bhopal,No,ICC,U67120MP1997PTC012117,Base
6370,Ratlam Industrial Ltd,Kolkata,No,ICC,U67120WB1980PLC033222,Base
6371,Ratna Commercial Enterprises Private Limited,New Delhi,No,ICC,U65100DL1979PTC021610,Middle
6372,Ratna Nandan Commercials Private Limited,Kolkata,No,ICC,U51909WB1991PTC053234,Base
6373,Ratnaafin Capital Private Limited,New Delhi,No,ICC,U65929DL2018PTC437822,Middle
6374,Ratnabali Equity Private Limited (Formerly known as Nishtha Investment & Consultancy Services Private Limited),Kolkata,No,ICC,U74140WB1991PTC053207,Base
6375,Ratnabali Investment Private Limited,Kolkata,No,ICC,U45400WB2007PTC120860,Base
6376,Ratnajeet Finvest (P) Ltd,Kolkata,No,ICC,U65993WB1994PTC065642,Base
6377,Ratnakar Capital Private Limited,Jaipur,No,ICC,U67200RJ2018PTC060540,Base
6378,Rattanindia Finance Private Limited,New Delhi,No,ICC,U65100DL1995PTC071198,Base
6379,Raunak Vyapar & Viniyog (P) Ltd,Kolkata,No,ICC,U51109WB1992PTC054275,Base
6380,Ravel Finance Solutions Private Limited,New Delhi,No,ICC,U65100DL1993PTC185750,Base
6381,Ravi Business Services (P) Ltd,Kolkata,No,ICC,U31104WB1991PTC052045,Base
6382,Ravi Cement Products Ltd,Kolkata,No,ICC,U26941WB1991PLC053533,Base
6383,Ravi Fincorp Limited,Ahmedabad,No,ICC,U65910GJ1989PLC012311,Base
6384,Ravina Exports (P) Ltd,Kolkata,No,ICC,U51909WB1994PTC065026,Base
6385,Ravisagar Auto Finance Private Limited,Mumbai,No,ICC,U65100PN1991PTC060961,Base
6386,Ravlon Commodities (P) Ltd,Kolkata,No,ICC,U51909WB1994PTC062765,Base
6387,Raxon Motor Finance Pvt Ltd,New Delhi,No,ICC,U67120DL1993PTC318873,Base
6388,Rb Money Financial Services Private Limited,New Delhi,No,ICC,U74999DL1994PTC059790,Base
6389,RBA Finance Private Limited,New Delhi,No,ICC,U67120DL1996PTC083899,Base
6390,RBG Leasing and Credit Private Limited,New Delhi,No,ICC,U51103DL1993PTC052652,Base
6391,Rbm Finance Pvt Ltd,Kolkata,No,ICC,U08011WB1990PTC131772,Base
6392,RBSG Capital Private Limited,Mumbai,No,ICC,U65999MH2017PTC302565,Base
6393,RCF Finance Private Limited,Andhra Pradesh,No,ICC,U65999AP2018PTC109429,Base
6394,Rcj Investment Trust Pvt. Ltd.,New Delhi,No,ICC,U74899DL1990PTC038933,Base
6395,RDA Holdings Private Limited(CIC),Mumbai,No,CIC,U45001PN1982PTC026507,Middle
6396,RDG Capital Private Limited,Jaipur,No,ICC,U67100RJ1995PTC059162,Base
6397,RDK Global Finance Limited*,Raipur,No,ICC,U65910CT2011PTC022552,Base
6398,RE Capital India Private Limited,Jaipur,No,ICC,U67190RJ2017PTC058194,Base
6399,Ready Dealers (P) Ltd,Kolkata,No,ICC,U51909WB1996PTC082145,Base
6400,Ready Leasing Private Limited,Kolkata,No,ICC,U65910WB1997PTC140699,Base
6401,Reaghan Finance Private Limited,Ahmedabad,No,ICC,U64990GJ2023PTC140537,Base
6402,Real Capital Financial Services Private Limited (Formerly: Dinpati Commercials Private Limited),Raipur,No,ICC,U65100CT1985PTC007589,Base
6403,Real Lease And Credits Pvt. Ltd. (Name as per MCA - Nitin Auto Trading Private Limited),New Delhi,No,ICC,U74899DL1993PTC052191,Base
6404,Real Touch Finance Limited,Kolkata,No,ICC,L01111WB1997PLC085164,Base
6405,Real Worth Capital & Finance (P) Ltd,Kolkata,No,ICC,U45203WB1995PTC072226,Base
6406,Realson Credit (P) Ltd,Kolkata,No,ICC,U65993WB1994PTC065408,Base
6407,REC Limited,New Delhi,No,IFC,L40101DL1969GOI005095,Middle
6408,Recapita Finance Private Limited,Bhopal,No,ICC,U65999MP2016PTC042062,Base
6409,Red Commodites Pvt Ltd,Kolkata,No,ICC,U51109WB1995PTC073949,Base
6410,Red Fort Capital Finance Company Private Limited,Mumbai,No,ICC,U74899MH1995PTC416961,Base
6411,Redico Vanijya (P) Ltd,Kolkata,No,ICC,U65100WB1995PTC072948,Base
6412,Redrose Supply (P) Ltd,Kolkata,No,ICC,U51109WB1996PTC078642,Base
6413,Redstrip Merchants (P) Ltd,Kolkata,No,ICC,U51909WB1993PTC058058,Base
6414,Redux Credit Finance Private Limited,New Delhi,No,ICC,U67200HR2017PTC070839,Base
6415,Reenu Fincap (P) Ltd.,New Delhi,No,ICC,U67120DL1996PTC077750,Base
6416,Refam Securities Pvt Ltd.,New Delhi,No,ICC,U74899DL1991PTC043142,Base
6417,Refcon Management (P) Ltd.,Kolkata,No,ICC,U67190WB1989PTC047220,Base
6418,Reflex Realty & Financial Consultants Pvt Ltd,Mumbai,No,ICC,U45202MH1996PTC098646,Base
6419,Refyne Finance Private Limited,Bengaluru,No,ICC,U65929KA2021PTC143815,Base
6420,Regal Entertainment and Consultants Limited (Formerly Regal Finance & Consultants Ltd),Mumbai,No,ICC,L65923MH1992PLC064689,Base
6421,Regal Ingot Pvt. Ltd.,Kolkata,No,ICC,U27109WB1993PTC060549,Base
6422,Regal Jute (P) Ltd,Kolkata,No,ICC,U17309WB1993PTC060545,Base
6423,Regency Commercial Co (P) Ltd,Kolkata,No,ICC,U51109WB1992PTC055056,Base
6424,Regency Fincorp Limited,Chandigarh,No,ICC,L67120PB1993PLC013169,Base
6425,Regency Finvest (P) Ltd,Kolkata,No,ICC,U67120WB1995PTC072084,Base
6426,Regency Shares & Holdings Pvt Ltd,New Delhi,No,ICC,U74899DL2006PTC144884,Base
6427,Regency Trust Ltd.,Kolkata,No,ICC,L27109WB1988PLC045119,Base
6428,Regent Business (P) Ltd,Kolkata,No,ICC,U51109WB1996PTC081395,Base
6429,Regent Estates Ltd.,Kolkata,No,ICC,L45201WB1936PLC008715,Base
6430,Regent Finlease Private Limited,New Delhi,No,ICC,U65999DL1996PTC082042,Base
6431,Regent Motors Pvt Ltd,Kolkata,No,ICC,U34103WB1946PTC013096,Base
6432,Rekha Commercial Private Limited,Kolkata,No,ICC,U51909WB1983PTC035750,Base
6433,Relax Finlease Pvt Ltd,Mumbai,No,ICC,U65990MH1996PTC096020,Base
6434,Relhuds Pvt. Ltd.,Kolkata,No,ICC,U70101WB1991PTC052948,Base
6435,Reliable Agro Engg. Services (P.) Ltd.,Chandigarh,No,ICC,U29211PB1968PTC002794,Base
6436,Reliable Finhold Limited,New Delhi,No,ICC,U67120DL1995PLC190215,Base
6437,Reliable Securities Limited,New Delhi,No,ICC,U65921DL1995PTC066898,Base
6438,Reliance Capital Ltd. ( Converted Into CIC Wef 31-08-2018),Mumbai,No,CIC,L65910MH1986PLC165645,Middle
6439,Reliance Commercial Company Private Limited,Jaipur,No,ICC,U51900RJ1989PTC080133,Base
6440,Reliance Financial Limited,Mumbai,No,ICC,U65990MH2005PLC155675,Middle
6441,Reliance Finvest Private Limited,Mumbai,No,ICC,U65999WB1996PTC081556,Base
6442,Reliance Industries Holding Private Limited,Mumbai,No,CIC,U51103MH2007PTC168016,Middle
6443,Reliance Sales (P) Ltd,Kolkata,No,ICC,U51909WB1986PTC040817,Base
6444,Reliance Ventures Limited (Formerly known as Reliance Fertilisers Private Limited),Mumbai,No,ICC,U24120MH1999PLC121009,Middle
6445,Reliant Credits (India) Ltd.(Formerly Known As Reliant Hire Purchase Company Ltd).,Thiruvananthapuram,No,ICC,U65921KL1989PLC005568,Base
6446,Religare Enterprises Limited,New Delhi,No,CIC,L74899DL1984PLC146935,Middle
6447,Religare Finvest Ltd.,New Delhi,No,ICC,U74999DL1995PLC064132,Middle
6448,Religare Housing Development Finance Corporation Limited,New Delhi,No,HFC,U74899DL1993PLC054259,Middle
6449,Relyable Finance And Investment Solutions Private Limited (Formerly: Ganadhipati Trades & Credits (P) Ltd),Kolkata,No,ICC,U65100WB1996PTC076387,Base
6450,Remcom Sales Services Pvt Ltd,Hyderabad,No,ICC,U51109TG1994PTC051476,Base
6451,Remex Investment Pvt. Ltd.,Kolkata,No,ICC,U65999WB1995PTC072884,Base
6452,Remi Securities Ltd,Mumbai,No,ICC,U65990MH1973PLC016601,Base
6453,Remix Vanijya Pvt Ltd,Kolkata,No,ICC,U51909WB2005PTC104070,Base
6454,Renaissance Asset Management Co.Pvt.Ltd.,New Delhi,No,ICC,U74899DL2000PTC107953,Base
6455,Renato Finance & Investments Private Limited,Mumbai,No,ICC,U67190MH1995PTC085165,Base
6456,Renomex Dealers (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC075547,Base
6457,Renovision Commerce (P) Ltd,Kolkata,No,ICC,U51109DL1995PTC198361,Base
6458,Renox Commercial Ltd,Kolkata,No,ICC,U29219WB1982PLC035121,Base
6459,Renu Finprop (P) Ltd,Kolkata,No,ICC,U28999WB1994PTC066140,Base
6460,Renutrol Dealcomm (P) Ltd,Kolkata,No,ICC,U51109WB1996PTC077935,Base
6461,Repco Home Finance Limited,Mumbai,No,HFC,L65922TN2000PLC044655,Middle
6462,Repco Micro Finance Limited,Chennai,No,MFI,U74900TN2007PLC064126,Middle
6463,Reposit Finco Pvt. Ltd.,Kolkata,No,ICC,U67120WB1994PTC061575,Base
6464,Reposit Trading Pvt. Ltd.,Kolkata,No,ICC,U51909WB1996PTC080711,Base
6465,Resham Traders & Investors (P) Ltd,Kolkata,No,ICC,U17118WB1992PTC057235,Base
6466,Reshma Hosiery Mills & Credit Pvt Ltd,Kolkata,No,ICC,U67120WB1992PTC057230,Base
6467,Resmi Hire Purchase Company (P) Ltd,Thiruvananthapuram,No,ICC,U65921KL1995PTC009789,Base
6468,Respo Financial Capital Private Limited,Mumbai,No,ICC,U65990MH2021PTC373655,Base
6469,Responce Investments Limited,Kolkata,No,ICC,U67120WB1994PLC064816,Base
6470,Responsible Builders Pvt.Ltd. (Formerly Responsible Holding Pvt. Ltd.),New Delhi,No,ICC,U74899DL1988PTC031773,Base
6471,Revathi Finances & Leasing (P) Ltd.,Hyderabad,No,ICC,U65910TG1990PTC012025,Base
6472,Reward Capital Service Private Limited,Chandigarh,No,ICC,U67100CH1996PTC032838,Base
6473,Rewas Investment & Holdings Ltd.,Mumbai,No,ICC,U65993MH2006PLC166063,Base
6474,Rexcin Finance Pvt. Ltd.,New Delhi,No,ICC,U67190DL2007PTC166284,Base
6475,Rexnox Trexim (P) Ltd,Kolkata,No,ICC,U51109WB1994PTC062462,Base
6476,Rgg Vyapaar Pvt Ltd,Kolkata,No,ICC,U51909WB2009PTC136134,Base
6477,Rgp Finvest Private Limited,Kolkata,No,ICC,U65990WB2016PTC218194,Base
6478,RHC Finance Pvt. Ltd.,New Delhi,No,CIC,U67120DL2007PTC166294,Middle
6479,Ricavi Finance Private Limited (Earlier known Ricavi Finance Limited),Ahmedabad,No,ICC,U65910GJ1984PLC006902,Base
6480,Rich 'N' Rich Finance & Holdings Ltd.,Hyderabad,No,ICC,L65910TG1992PLC014708,Base
6481,Richa Holdings Limited,New Delhi,No,ICC,U72900HR2001PLC037016,Base
6482,Richard Tiecon Pvt. Ltd.,Kolkata,No,ICC,U51109WB1995PTC068927,Base
6483,Richbond Capital Private Limited ( Formerly Verma Hire Purchase Pvt. Ltd.),Mumbai,No,ICC,U65921MH1995PTC258119,Base
6484,Richcap Finance (P) Ltd,Kolkata,No,ICC,U67120WB1996PTC078261,Base
6485,Richcredit Finance Private Limited,New Delhi,No,ICC,U65909DL1996PTC319357,Base
6486,Richfield Financial Services Ltd,Kolkata,No,ICC,L65999WB1992PLC055224,Base
6487,Richfield Tracon Pvt Ltd,Kolkata,No,ICC,U51909WB1996PTC078839,Base
6488,Richhold Trading (P) Ltd,Kolkata,No,ICC,U70109WB1989PTC047008,Base
6489,Richie Credit & Finance Private Limited(Formerly Chandpur Motor Finance Private Limited),Kolkata,No,ICC,U65921WB1985PTC117558,Base
6490,Richiline Sales Services Pvt. Ltd,Kolkata,No,ICC,U51109UP1994PTC110319,Base
6491,Richline Finance Limited,Chennai,No,ICC,U65921TZ1991PLC003458,Base
6492,Richman Fincap Limited,New Delhi,No,ICC,U65993DL1996PLC077605,Base
6493,Richmax Finvest Pvt Ltd. (Formerly Sark Fincap Pvt. Ltd.),New Delhi,No,ICC,U65921DL1995PTC071040,Base
6494,Ricky Credit Co (P) Ltd,Kolkata,No,ICC,U67120WB1992PTC055465,Base
6495,Ricon Commodities (P) Ltd,Kolkata,No,ICC,U51909WB1995PTC070911,Base
6496,"Ricon Merchants Pvt. Ltd,",Kolkata,No,ICC,U51109WB1996PTC077416,Base
6497,Riddhi Portfolio Private Limited,Kolkata,No,ICC,U67120WB1995PTC071066,Base
6498,Riddhi Securities Limited,Ahmedabad,No,ICC,U65990GJ1995PLC024877,Base
6499,Riddhi Siddhi Ice Industries (P) Ltd,Kolkata,No,ICC,U63022WB1980PTC032478,Base
6500,Ridhi Fincap Private Limited,Jaipur,No,ICC,U65993RJ2010PTC031174,Base
6501,Ridhi Sidhi Distributor Pvt Ltd,Kolkata,No,ICC,U51109WB1995PTC076222,Base
6502,Ridhi Sidhi Financial Services Private Limited,New Delhi,No,ICC,U65991DL1994PTC232355,Base
6503,Ridhi Vinimay(P) Ltd,Kolkata,No,ICC,U51909WB1995PTC073910,Base
6504,Ridhima Enterprises Pvt. Ltd.,New Delhi,No,ICC,U74899DL1994PTC059921,Base
6505,Ridhima Holdings (P) Ltd,Kolkata,No,ICC,U65993WB1992PTC054992,Base
6506,Right Aid Associates (P) Ltd,Kolkata,No,ICC,U51109WB1985PTC038542,Base
6507,Right Aid Consultants (P) Ltd,Kolkata,No,ICC,U74140WB1985PTC039548,Base
6508,Right Choice Financial Services P Ltd,Mumbai,No,ICC,U67190MH1995PLC089427,Base
6509,Right Treasure Finance & Lrasing (India) Pvt Ltd,Mumbai,No,ICC,U65910MH1994PTC078714,Base
6510,Rightex Trading Pvt Ltd,Kolkata,No,ICC,U51109WB1993PTC060019,Base
6511,Rigmadi Rappa Investment Pvt Ltd,Kolkata,No,ICC,U61120WB1997PTC082951,Base
6512,Rikalp Capital Private Limited (Formerly Sethi Securities Private Limited),Kolkata,No,ICC,U65993WB1997PTC083506,Base
6513,Rikzen Contra (P) Ltd,Kolkata,No,ICC,U51109WB1994PTC064823,Base
6514,Rima Impex Pvt Ltd,Kolkata,No,ICC,U51909WB1993PTC058847,Base
6515,Rimura Finlease & Technology Ltd.,Jaipur,No,ICC,U65910RJ1994PLC009207,Base
6516,Rinkpi Finance & Consultants (P) Ltd,Kolkata,No,ICC,U74140DL1993PTC390764,Base
6517,Rise Capital Operative Finance Private Limited,Thiruvananthapuram,No,ICC,U65921KL1996PTC010793,Base
6518,Rishab Trade & Finance Pvt Ltd,Kanpur,No,ICC,U65929UP1991PTC227762,Base
6519,Rishabh Stocks (P) Ltd,Kolkata,No,ICC,U67120WB1995PTC073358,Base
6520,Rishav Hire Purchase & Financier Pvt. Ltd.,Kanpur,No,ICC,U65921UP1991PTC013699,Base
6521,Rishdev Investments Private Limited,New Delhi,No,Type-I,U65999DL2016PTC302973,Base
6522,"Rishi Growth Fund Private Limited,",New Delhi,No,ICC,U74899DL1991PTC043012,Base
6523,Rishi Securities & Finance Pvt Ltd,Kolkata,No,ICC,U17222WB1994PTC061850,Base
6524,Rishiganga Finance Ltd.,New Delhi,No,ICC,U65921DL1995PLC071547,Base
6525,Rishikesh Commercial Co (P) Ltd,Kolkata,No,ICC,U51395WB1990PTC048726,Base
6526,Rishikesh Hire Purchase And Leasing Company Private Limited,Kolkata,No,ICC,U65921WB1995PTC137280,Base
6527,Rishikesh Mercantile Pvt Ltd,Kolkata,No,ICC,U51909WB2004PTC099451,Base
6528,Rishiroop Management Pvt Ltd,Kolkata,No,ICC,U74120WB1994PTC061537,Base
6529,Rishra Investment Ltd,Kolkata,No,ICC,L65993WB1976PLC030622,Base
6530,Rishu Tradelink (P)Ltd,Kolkata,No,ICC,U51109WB1995PTC073542,Base
6531,Rispana Leasing Finance And Investments Pvt.Ltd,New Delhi,No,ICC,U65100DL1993PTC051618,Base
6532,Rita Finance And Leasing Limited,New Delhi,No,ICC,L67120DL1981PLC011741,Base
6533,Ritesh Commercial Holdings Ltd.,Kolkata,No,ICC,U27106WB1986PLC040985,Base
6534,Riteswari Trading& Invesments Pvt Ltd,Kolkata,No,ICC,U51909WB1989PTC047900,Base
6535,Ritika Textiles Private Ltd.,New Delhi,No,ICC,U74899DL1993PTC054732,Base
6536,Ritona Vinimay (P) Ltd,Kolkata,No,ICC,U51909WB1995PTC068071,Base
6537,Ritu Investments (P) Ltd.,New Delhi,No,ICC,U65993DL1975PTC007836,Base
6538,Ritu'S Creation Pvt Ltd,Bhopal,No,ICC,U74210MP1996PTC070612,Base
6539,Ritwik Finance Enterprises (P) Ltd,Kolkata,No,ICC,U70101WB1987PTC043367,Base
6540,Rival Commerce (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC076086,Base
6541,Rivaz Finance Ltd.,Kanpur,No,ICC,U65921UP1989PLC010415,Base
6542,Riverdale Investments (Pvt) Limited,Hyderabad,No,ICC,U65993TG1989PTC010361,Base
6543,Riwaaz Investments Private Limited,New Delhi,No,ICC,U74899DL1996PTC077652,Middle
6544,Riya Caplease (India) Ltd.,Ahmedabad,No,ICC,U65910GJ1983PLC006554,Base
6545,RKA Commercial (P) Ltd,Kolkata,No,ICC,U51909WB1994PTC066367,Base
6546,RKB Securities Limited,Kolkata,No,ICC,U67120WB1995PLC224858,Base
6547,Rkc Stock Broking Services Ltd.,New Delhi,No,ICC,U74899DL1992PLC051483,Base
6548,Rkd Financial Services Ltd.,New Delhi,No,ICC,U74899DL1993PLC051729,Base
6549,Rkg Enterprises (P) Ltd,Kolkata,No,ICC,U18101WB1996PTC080160,Base
6550,RKG Finvest Ltd.,New Delhi,No,ICC,U65923DL1995PLC073976,Middle
6551,RKP Finance Private Limited (Formerly RKP Consultants Private Limited),Jaipur,No,ICC,U65100RJ1992PTC075404,Base
6552,RM Corporate Services Pvt. Ltd.,New Delhi,No,ICC,U74899DL1995PTC064581,Base
6553,RMA Investments Private Limited,Kanpur,No,Type-I,U67100UP2019PTC122438,Base
6554,RMBS Development Company Limited,Mumbai,No,ICC,U64990MH2024PLC420487,Middle
6555,RMK Fincorp Pvt.Ltd.( Formerly Super Housers Finin Pvt Ltd),Jaipur,No,ICC,U67120RJ1995PTC010311,Base
6556,Rmoney Finvest Limited,Ahmedabad,No,ICC,U74899GJ1996PLC146803,Base
6557,RN Consultants Pvt.Ltd,New Delhi,No,ICC,U65100DL1989PTC035565,Base
6558,Rnawep Investments Private Limited,Bengaluru,No,ICC,U70101KA1982PTC084049,Base
6559,RNP Finvest (P) Ltd,Kolkata,No,ICC,U51109UP1993PTC112907,Base
6560,RNVP Technology Private Limited,Kanpur,No,P2P,U74120UP2016PTC076004,Base
6561,Robbs Traders & Finance Pvt Ltd,Kolkata,No,ICC,U51109WB1993PTC057928,Base
6562,Robust Finvest Private Ltd.,Jaipur,No,ICC,U65990RJ1995PTC041886,Base
6563,Rochak Distributors (P) Ltd,Kolkata,No,ICC,U67120WB1994PTC062540,Base
6564,Rockland Finstock Limited,New Delhi,No,ICC,U65929DL2017PLC324351,Base
6565,Rocky Datamatics (P) Ltd,Kolkata,No,ICC,U72900WB1994PTC062761,Base
6566,Rocky Marketing Pvt. Ltd,Kolkata,No,ICC,U51109WB1996PTC077331,Base
6567,Rodrifues Impex Pvt. Ltd.,Kolkata,No,ICC,U51909WB1996PTC078258,Base
6568,Roha Housing Finance Private Limited,New Delhi,No,HFC,U65999MH2017PTC293277,Middle
6569,Rohan Finance & Securities Ltd,Kolkata,No,ICC,L51109WB1995PLC067680,Base
6570,Rohan Techno Commercial Pvt Ltd,Kolkata,No,ICC,U74210WB1993PTC060342,Base
6571,Rohil Investment & Finance Co Ltd,Kolkata,No,ICC,U65993WB1994PLC065373,Base
6572,Rohini Mercantile Pvt Ltd,Kolkata,No,ICC,U52500WB1993PTC124703,Base
6573,Rohit Plastopack (P) Ltd,Kolkata,No,ICC,U24246WB1989PTC047838,Base
6574,Rohit Profin Securities Pvt. Ltd.,New Delhi,No,ICC,U65993DL1995PTC358188,Base
6575,Rohtang Commercial (P) Ltd,Kolkata,No,ICC,U51909WB1996PTC076546,Base
6576,Rolex Commercial Co Ltd,Kolkata,No,ICC,U51900WB1985PTC132208,Base
6577,Rolex Exports Pvt. Ltd.,New Delhi,No,ICC,U74899DL1994PTC059694,Base
6578,Rolex Trafin (P) Ltd,Kolkata,No,ICC,U65993WB1997PTC083024,Base
6579,Roli Trading (P) Ltd,Kolkata,No,ICC,U51909WB1995PTC068165,Base
6580,Rollon Investments Pvt. Ltd.,New Delhi,No,ICC,U74899DL1994PTC063557,Base
6581,Rolta Credit (P) Ltd,Kolkata,No,ICC,U24121WB1985PTC039180,Base
6582,Rolta Holding And Finance Corporation Private Limited,Mumbai,No,ICC,U66000MH1992PTC068976,Base
6583,Romanchak Merchandise (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC073462,Base
6584,Romass Vinimay (P) Ltd,Kolkata,No,ICC,U51109WB1994PTC064383,Base
6585,Ronak Vyapaar Pvt. Ltd,Kolkata,No,ICC,U51109WB1994PTC064587,Base
6586,Ronson Traders Ltd,Kolkata,No,ICC,L51909WB1982PLC035358,Middle
6587,Roonwal Finance Private Limited,Chennai,No,ICC,U65191TN1990PTC019186,Base
6588,Roonwal Investments Private Limited,Chennai,No,ICC,U65991TN1988PTC016511,Base
6589,Roopa Sona Investments & Trading Co Pvt Ltd,Mumbai,No,ICC,U67120MH1981PTC025080,Base
6590,Roopam Financiers Pvt Ltd.,New Delhi,No,ICC,U65921DL1988PTC203672,Base
6591,Root Finserve Private Limited,Jaipur,No,ICC,U25201RJ1995PTC010759,Base
6592,Roplas Commotraders (P) Ltd,Kolkata,No,ICC,U51909WB1994PTC062497,Base
6593,Roplas Dealcomm (P) Ltd,Kolkata,No,ICC,U51109WB1996PTC076535,Base
6594,Rors Finance Private Limited (Formerly Known as Pace Finance Private Limited),Bengaluru,No,MFI,U17124KA1987PTC008797,Base
6595,Rose Bud Udyog & Viniyog Ltd,Kolkata,No,ICC,U65993WB1986PLC040124,Base
6596,Rose Capital Ltd.,Kolkata,No,ICC,U74140WB1995PLC067831,Base
6597,Rose Capital Services Pvt. Ltd.,Chandigarh,No,ICC,U67120CH1994PTC014660,Base
6598,Rose Financiers & Commercials (P) Ltd,Kolkata,No,ICC,U65993WB1985PTC039876,Base
6599,Roseberry Mercantile Private Limited,Kanpur,No,ICC,U51909UP1996PTC124033,Base
6600,Roselab Commodities (P) Ltd.,Kolkata,No,ICC,U51109WB1995PTC075639,Base
6601,Rosset Fiscal (P) Ltd,Kolkata,No,ICC,U85195WB1997PTC083025,Base
6602,Rosy Commercial (P) Ltd,Kolkata,No,ICC,U51109WB1990PTC049566,Base
6603,Rosy Dealcomm (P) Ltd,Kolkata,No,ICC,U51909WB1994PTC064093,Base
6604,Rosy Towers (P) Ltd,Kolkata,No,ICC,U45203WB1992PTC055745,Base
6605,Rotex Intertrade Pvt. Ltd,Kolkata,No,ICC,U51109WB1995PTC068662,Base
6606,Rotomac Goods Pvt Ltd,Kolkata,No,ICC,U51109WB1995PTC072293,Base
6607,Rotomac Vinimay Pvt Ltd,Kolkata,No,ICC,U51909WB1995PTC072252,Base
6608,Rottex Mercantile Ltd.,Kolkata,No,ICC,U65100WB1996PTC078927,Base
6609,Rover Finance Limited,Mumbai,No,ICC,U65999MH1993PLC304765,Base
6610,Rovo Marketing (P) Ltd.,New Delhi,No,ICC,U65100DL1987PTC029947,Base
6611,Rowdon Business (P) Ltd,Kolkata,No,ICC,U65910WB1991PTC052301,Base
6612,Royal Highland Distilleries Ltd,Kolkata,No,ICC,U51228WB1992PLC056959,Base
6613,Royal Instalments Limited,Kanpur,No,ICC,U65921UP1997PLC022561,Base
6614,Royal Motor Finance Pvt. Ltd,New Delhi,No,ICC,U51109DL1997PTC088139,Base
6615,Royal Securities Ltd.,Kolkata,No,ICC,U74109WB1982PLC034619,Base
6616,Royal Seeds & Fertilisers Pvt Ltd,Kolkata,No,ICC,U51109WB1999PTC090792,Base
6617,Royal Vision Fincorp Private Limited( Formerly Known As Eden Accurate Finlease Private Limited ),Jaipur,No,ICC,U67120RJ1995PTC010733,Base
6618,Rozelle Sales & Services Pvt Ltd,Kolkata,No,ICC,U51109WB1995PTC069863,Base
6619,RPB Commercial Private Limited,New Delhi,No,ICC,U74899DL1995PTC070236,Base
6620,Rpg Credit & Capital Ltd.,New Delhi,No,ICC,U74899DL1997PLC084287,Base
6621,RPL Capital Finance Ltd.,New Delhi,No,ICC,U00000DL2000PLC104196,Base
6622,RPN Fintralease & Securities Pvt.Ltd.,New Delhi,No,ICC,U74899DL1995PTC074661,Base
6623,Rr Fincap Private Limited,New Delhi,No,ICC,U67120DL2009PTC186671,Base
6624,RRB Securities Ltd.,New Delhi,No,ICC,U67120HR1981PLC034552,Base
6625,RS Finlease Pvt. Ltd.,New Delhi,No,ICC,U65921DL1996PTC078546,Base
