sl_no,nbfc_name,regional_office,accepts_deposits,classification,cin,layer
130,Aboli Investment Pvt. Ltd.,Mumbai,No,ICC,U65999PN1982PTC026573,Base
131,Abrepose Financial & Technical Services Ltd.,Hyderabad,No,ICC,U65993TG1991PLC013572,Base
132,ABT Finance Limited,Chennai,No,ICC,U65921TZ1985PLC001575,Middle
133,Access Equity Pvt Ltd,New Delhi,No,ICC,U74899DL1995PTC071399,Base
134,Accessline Limited (Formerly Accessline Private Limited),Mumbai,No,ICC,U65990MH1983PLC031537,Base
135,Accord Securities Ltd.,Kolkata,No,ICC,U67120WB1994PLC065825,Base
136,Accredit Distributors (P) Ltd,Kolkata,No,ICC,U74140WB1994PTC062186,Base
137,Accredut Finance And Investment Private Limited,Mumbai,No,ICC,U65990MH1994PTC082315,Base
138,Accura Capital Private Limited (Formerly known as Dimple Finance and Investment Private Limited),Mumbai,No,ICC,U65910MH1987PTC414477,Base
139,Accurate Finman Services Limited,New Delhi,No,ICC,U74899DL1995PLC066896,Base
140,Accurex Traders Private Limited,New Delhi,No,ICC,U65100DL1996PTC185664,Base
141,Ace Finlease Private Limited,Thiruvananthapuram,No,ICC,U65910KL1996PTC010644,Base
142,Acepro Finance Private Limited,Mumbai,No,ICC,U67190MH2017PTC302367,Base
143,Acetylene Trexim (P) Ltd,Kolkata,No,ICC,U67120WB1994PTC062549,Base
144,ACG Leasing Ltd.,New Delhi,No,ICC,U65921DL1996PLC075114,Base
145,ACG Sons Financiers Ltd.,New Delhi,No,ICC,U65921HR1995PLC032756,Base
146,Achi Finance And Management Consultancy Private Limited,Ahmedabad,No,ICC,U74140GJ1994PTC023976,Base
147,Achievers Finance India Ltd (Formerly: Achiievers Finance India Private Limited),Kolkata,No,ICC,U51909WB1996PTC082118,Base
148,Achin Vyapaar (P) Ltd,Kolkata,No,ICC,U51109WB1995PTC067785,Base
149,Achyut & Neeta Holdings & Finance Private Limited,Mumbai,No,ICC,U70100PN1993PTC073841,Base
150,Acme (P) Ltd (Name as per MCA - Boast Traders Private Limited),Kolkata,No,ICC,U19116WB1994PTC063236,Base
151,Acme Consultants (P) Ltd,Kolkata,No,ICC,U74140WB1992PTC054768,Base
152,Acme Resources Limited,New Delhi,No,ICC,L65993DL1985PLC314861,Base
153,ACN Financial Services Limited,New Delhi,No,ICC,U74899DL1994PLC063931,Base
154,Acolyte Finserv Limited (Formerly: Gagan Metals Limited),New Delhi,No,ICC,U65100DL1988PLC030798,Base
155,Acsys Investments Private Limited,Chennai,No,Type-I,U72200TN1989PTC018287,Base
156,ACT Fininvest Ltd.,Mumbai,No,ICC,U29220MH1989PLC052987,Base
157,Action Capital Private Limited,New Delhi,No,ICC,U74899DL1995PTC074440,Base
158,Active Finvest Pvt. Ltd.,New Delhi,No,ICC,U65921DL1996PTC077639,Base
159,Acuvision Capital And Finance Private Limited,Mumbai,No,ICC,U65923MH2014PTC253837,Base
160,Adani Finserve Private Limited,Ahmedabad,No,ICC,U65993GJ2016PTC086524,Base
161,Adarsh Capital Finstock Ltd,Ahmedabad,No,ICC,U74110GJ1995PLC026760,Base
162,Adarsha Motor Credit Ltd.,Hyderabad,No,ICC,U65921TG1993PLC015954,Base
163,Adcon Capital Services Ltd.,Bhopal,No,ICC,L67120MP1994PLC008511,Base
164,Add - Truck Commercial Pvt Ltd,Kolkata,No,ICC,U51909WB1995PTC069216,Base
165,Addarsh Management (P) Ltd,Kolkata,No,ICC,U51909WB1994PTC061338,Base
166,Addies Innovations Ltd,New Delhi,No,ICC,U65100DL1990PTC042009,Base
167,Adharshila Capital Services Ltd.,New Delhi,No,ICC,L65100DL1993PLC056347,Base
168,Adhishwar Nivesh Private Limited,New Delhi,No,ICC,U72900DL2000PTC104687,Middle
169,Adhunik Bharat Finance Company Pvt. Ltd.,New Delhi,No,ICC,U74899DL1991PTC042789,Base
